	SRR19509095	SRR19509096	SRR19509097	SRR19509098	SRR19509099	SRR19509100	SRR19509101	SRR19509102	SRR19509103	SRR19509104	SRR19509105	SRR19509106	SRR19509107	SRR19509108	SRR19509109	SRR19509110	SRR19509111	SRR19509112	SRR19509113	SRR19509114	SRR19509115	SRR19509116	SRR19509117	SRR19509118	SRR19509119	SRR19509120	SRR19509121	SRR19509122	SRR19509123	SRR19509124	SRR19509125	SRR19509126	SRR19509127	SRR19509128	SRR19509129	SRR19509130	SRR19509131	SRR19509132	SRR19509133	SRR19509134	SRR19509135	SRR19509136	SRR19509137	SRR19509138	SRR19509139	SRR19509140	SRR19509141	SRR19509142	SRR19509143	SRR19509144	SRR19509145	SRR19509146	SRR19509147	SRR19509148	SRR19509149	SRR19509150	SRR19509151	SRR19509152	SRR19509153	SRR19509154
ASV_0036	73	38	78	93	196	119	430	132	170	66	521	308	127	92	249	37	77	60	47	34	59	34	82	61	73	84	27	34	71	32	52	29	41	28	0	18	104	137	400	178	200	139	155	38	88	304	380	116	1101	513	584	109	3037	233	112	457	110	159	229	116
ASV_0037	0	9	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1010	0	0	0	0	0	0	0	0	0	0	874	0	9	0	0	0	0	215	222	389	181	1125	0	0	0	785	129	1831	565	858	803	790	1102	1283
ASV_0038	174	161	224	291	912	796	170	163	373	122	23	81	23	43	244	50	14	18	17	18	60	18	15	19	70	31	141	84	23	63	148	22	12	0	6	5	405	221	358	128	91	626	23	179	2387	465	949	74	26	91	32	36	147	33	116	91	23	167	138	225
ASV_0039	149	461	148	307	121	209	63	105	0	0	43	18	46	14	270	173	282	279	283	123	113	67	41	63	77	156	964	1618	524	837	851	71	411	359	250	228	210	0	0	0	0	0	0	34	0	77	66	55	0	0	0	0	28	0	34	39	0	45	496	97
ASV_0040	18	99	90	0	274	126	523	488	751	190	133	51	987	130	34	298	111	124	314	80	80	99	81	123	104	0	848	620	474	1377	792	46	21	10	46	10	393	91	146	61	188	0	0	19	112	0	97	120	0	0	0	5	0	0	0	11	0	0	19	0
ASV_0041	0	0	19	0	1948	454	3248	1486	685	338	88	45	0	13	12	116	59	13	9	7	33	23	91	37	80	0	125	22	219	125	139	44	14	10	0	2	0	175	257	20	23	343	0	0	289	0	0	0	18	65	19	15	64	0	0	0	0	8	0	0
ASV_0042	57	45	76	44	117	174	393	308	411	202	156	309	123	103	86	68	61	73	67	44	60	36	80	53	44	0	121	201	274	155	96	41	186	130	202	57	0	256	33	257	3582	66	101	22	0	41	334	19	624	158	158	151	29	0	0	0	0	0	45	0
ASV_0043	35	33	162	40	1309	392	595	157	156	99	1377	98	80	160	67	36	158	30	27	36	106	55	128	67	169	51	183	182	87	55	112	243	110	51	38	61	209	71	1206	106	104	917	0	48	204	76	187	82	21	38	37	49	75	18	0	33	29	25	112	57
ASV_0044	0	4	61	0	0	7	0	7	0	0	17	0	13	4	44	0	0	0	3	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	0	27	5703	2264	127	207	918	32	0	102	0	0	6	0	99	121	77	31	5	0	8	0	0	35	50
ASV_0045	102	692	391	47	25	67	93	36	23	7	12	9	36	28	53	107	56	75	90	62	31	15	55	13	39	233	166	155	151	134	230	33	392	129	740	99	57	43	100	33	43	7	3	10	0	22	11	53	58	156	576	1923	8	144	377	243	558	86	515	81
ASV_0046	18	23	64	28	838	372	1345	490	757	171	166	104	100	61	69	42	23	15	16	0	53	18	134	72	50	0	84	66	130	81	48	40	35	27	19	13	0	1136	395	270	272	841	0	0	156	149	48	19	3	71	70	87	120	0	0	0	2	9	0	0
ASV_0047	18	14	60	25	624	67	322	45	368	24	9	0	0	0	34	12	0	5	0	0	0	0	7	0	55	0	28	8	24	5	92	147	5	3	0	4	0	264	761	581	982	2175	67	0	965	0	35	0	116	160	523	105	82	0	20	19	0	210	9	65
ASV_0048	78	132	113	204	104	82	0	53	0	0	0	0	0	51	161	191	132	147	207	123	0	0	0	0	37	0	878	875	515	848	848	0	387	281	611	133	52	0	30	0	0	0	0	0	0	0	0	0	9	173	0	149	0	65	141	0	531	482	134	0
